id,title,tags
166426,Pirates of the Caribbean: Dead Men Tell No Tales,adventure action fantasy johnny depp javier bardem geoffrey rush brenton thwaites kaya scodelario joachim rønningespen sandberg sea ship sequel artifact treasure map pirate period drama monkey swashbuckler ghost caribbean sea trident cướp biển hải tặc  en
454286,God's Not Dead: A Light in Darkness,drama david a.r. white john corbett jennifer taylor benjamin a. onyango tatum o'neal michael mason church aftercreditsstinger  en
474350,It Chapter Two,horror fantasy bill skarsgård james mcavoy jessica chastain bill hader isaiah mustafa andy muschietti clown carnival sequel remake maine creature fear ancient evil loss of a friend 2016  en
458156,John Wick: Chapter 3 - Parabellum,action thriller crime keanu reeves halle berry ian mcshane laurence fishburne mark dacascos chad stahelski new york city martial arts casablanca morocco morocco secret society secret organization black humor sahara desert bratva (russian mafia) sequel organized crime one man army professional assassin baba yaga dog man friendship  en
439079,The Nun,horror mystery thriller taissa farmiga demián bichir bonnie aarons jonas bloquet ingrid bisu corin hardy rome italy nun exorcism father supernatural priest spirit demon spin off evil nun demonic possession romania murder mystery ancient evil  en
346364,It,horror fantasy jaeden martell jeremy ray taylor sophia lillis finn wolfhard chosen jacobs andy muschietti based on novel or book small town clown bullying abandoned house murder flashback balloon maine school creature fear summer killer missing person death of brother well child demonic town history  en
522518,A Dog's Journey,family adventure drama marg helgenberger betty gilpin henry lau kathryn prescott dennis quaid gail mancuso reincarnation sequel growing up dog animal shelter pets purpose of life  en
47971,xXx: Return of Xander Cage,action adventure crime vin diesel donnie yen deepika padukone kris wu ruby rose d. j. caruso tattoo spy extreme sports airplane secret agent parachute swimming pool sequel back from the dead dominican republic free fall  en
345938,The Shack,drama fantasy sam worthington octavia spencer tim mcgraw aviv alush sumire matsubara stuart hazeldine loss of loved one based on novel or book guilt death of daughter family trip christian film christian  en
268896,Pacific Rim: Uprising,action fantasy sci-fi adventure john boyega scott eastwood cailee spaeny jing tian rinko kikuchi steven s. deknight monster damage army sequel alien giant robot giant monster creature robot kaiju alien monster teenage hero robot suits mount fuji  en
343668,Kingsman: The Golden Circle,action adventure comedy taron egerton colin firth julianne moore mark strong halle berry matthew vaughn saving the world spy europe sequel secret government organization agent statesman  en
141052,Justice League,action adventure sci-fi ben affleck henry cavill amy adams gal gadot ezra miller zack snyder superhero based on comic super power superhero team aftercreditsstinger duringcreditsstinger dc extended universe (dceu)  en
293167,Kong: Skull Island,action adventure fantasy tom hiddleston samuel l. jackson john goodman brie larson jing tian jordan vogt-roberts vietnam veteran 1970s monster expedition island giant spider giant monster creature spin off u.s. soldier giant animal kaiju aftercreditsstinger giant ape monster island water buffalo uncharted monsterverse king kong  en
181808,Star Wars: The Last Jedi,adventure action sci-fi mark hamill carrie fisher adam driver daisy ridley john boyega rian johnson bunker space battle failure defeat sequel space opera military operation  en
301528,Toy Story 4,family adventure animation comedy fantasy tom hanks tim allen annie potts tony hale keegan josh cooley friendship cartoon rescue mission buddy cowboy duringcreditsstinger toy comes to life  en
263115,Logan,action drama sci-fi hugh jackman dafne keen patrick stewart elizabeth rodriguez boyd holbrook james mangold cyborg experiment self destruction mutant future dystopia immortality road trip sequel superhero based on comic super power neo western troubled past aging superhero life on the margin  en
427641,Rampage,action adventure sci-fi dwayne johnson naomie harris malin åkerman jeffrey dean morgan jake lacy brad peyton gorilla monster wolf mutation lizard giant lizard giant monster creature based on video game giant animal mutant animal kaiju albino giant rat genetic experiment destroyed city giant gorilla animal monster  en
512200,Jumanji: The Next Level,adventure comedy fantasy dwayne johnson kevin hart jack black karen gillan awkwafina jake kasdan magic animal attack body swap adventurer superhuman strength duringcreditsstinger action hero trapped in a game  en
335983,Venom,sci-fi action tom hardy michelle williams riz ahmed scott haze reid scott ruben fleischer san francisco california spacecraft anti hero alien life form superhero based on comic aftercreditsstinger duringcreditsstinger business tycoon symbiote genetic experiment  en
126889,Alien: Covenant,sci-fi horror mystery michael fassbender katherine waterston billy crudup danny mcbride demián bichir ridley scott android spacecraft experiment space travel alien life form infection engineer sequel space alien creature robot scientist genocide creation acid xenomorph alien technology genetic mutation  en
568091,Fractured,thriller sam worthington lily rabe stephen tobolowsky adjoa andoh lauren cochrane brad anderson gun gas station hospital doctor police officer alcoholic accident  en
404368,Ralph Breaks the Internet,family animation comedy adventure john c. reilly sarah silverman gal gadot taraji p. henson jack mcbrayer rich moorephil johnston video game cartoon sequel internet lethal virus aftercreditsstinger duringcreditsstinger online gaming  en
546554,Knives Out,comedy crime mystery daniel craig chris evans ana de armas jamie lee curtis michael shannon rian johnson detective massachusetts immigrant big family investigation mansion whodunit family home murder mystery neo noir privilege  en
297762,Wonder Woman,action adventure fantasy gal gadot chris pine connie nielsen robin wright danny huston patty jenkins hero greek mythology island feminism empowerment world war i strong woman superhero based on comic female protagonist period drama super power heroine woman director female empowerment 1910s dc extended universe (dceu)  en
423204,Angel Has Fallen,action thriller gerard butler morgan freeman jada pinkett smith nick nolte danny huston ric roman waugh usa president sequel secret service framed for a crime terrorist plot assassination attempt survivalism u.s. secret service agent manhunt father son relationship  en
506574,Descendants 3,family tv movie music adventure fantasy dove cameron cameron boyce sofia carson booboo stewart mitchell hope kenny ortega magic musical family  en
527641,Five Feet Apart,romance drama haley lu richardson cole sprouse moisés arias kimberly hebert gregory parminder nagra justin baldoni forbidden love falling in love cystic fibrosis star crossed lovers true love  en
595172,The Pilgrim's Progress,animation adventure david thorpe john rhys davies kristyn getty tristan beint robert fernandez unknown  en
345887,The Equalizer 2,action thriller crime denzel washington pedro pascal ashton sanders bill pullman melissa leo antoine fuqua rape cia martial arts hostage kidnapping hurricane drug dealer sequel revenge murder gang massacre elite forces vigilante justice  en
481880,Trial by Fire,drama crime jack o'connell laura dern emily meade jade pettyjohn rhoda griffis edward zwick falsely accused texas biography based on true story trial arson based on magazine newspaper or article death of a child  en
260513,Incredibles 2,action adventure animation family craig t. nelson holly hunter sarah vowell huck milner samuel l. jackson brad bird married couple cartoon sequel superhero parenting family super power  en
336843,Maze Runner: The Death Cure,sci-fi action adventure thriller dylan o'brien kaya scodelario thomas brodie sangster ki hong lee wes ball based on novel or book fight maze imprisonment post apocalyptic future terminal illness sequel murder mad scientist survival trial zombie doctor battle vaccine scientist killer desert labyrinth combat illness cure zombie apocalypse runner universal cure based on young adult novel  en
373571,Godzilla: King of the Monsters,sci-fi action kyle chandler vera farmiga millie bobby brown ken watanabe zhang ziyi michael dougherty mexico boston massachusetts giant monster cryptozoology eco terrorism creature feature gojira rodan kaiju aftercreditsstinger global threat animal horror king ghidorah sunken city mothra godzilla monsterverse  en
521029,Annabelle Comes Home,horror mystery thriller mckenna grace madison iseman katie sarife vera farmiga patrick wilson gary dauberman babysitter supernatural priest doll creepy doll jump scare possessed doll supernatural power  en
400928,Gifted,drama comedy chris evans mckenna grace lindsay duncan jenny slate octavia spencer marc webb cat intellectually gifted child prodigy mathematics teacher school prize child custody legal drama gifted children custody hearing  en
332562,A Star Is Born,music drama romance bradley cooper lady gaga sam elliott andrew dice clay rafi gavron bradley cooper country music waitress self destruction talent pop star concert addiction alcoholism remake death of father aspiring singer singer fame tinnitus falling in love insecurity alcoholic death of mother aspiration death of parent showbiz emotional vulnerability hearing impaired brother brother relationship  en
398818,Call Me by Your Name,romance drama timothée chalamet armie hammer michael stuhlbarg amira casar esther garrel luca guadagnino italy upper class based on novel or book swimming pool love coming of age breaking the fourth wall summer teenage boy masturbation first love lgbt jewish family 1980s peach gay  en
345940,The Meg,action sci-fi horror jason statham li bingbing rainn wilson cliff curtis ruby rose jon turteltaub ocean based on novel or book beach deep sea creature shark oceanic expedition kaiju submersible under water extinct underwater facility mariana trench  en
299537,Captain Marvel,action adventure sci-fi brie larson samuel l. jackson ben mendelsohn jude law annette bening ryan fleckanna boden superhero based on comic alien invasion super power female hero aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) woman director hero's journey 1990s alien technology  en
321612,Beauty and the Beast,family fantasy romance emma watson dan stevens luke evans josh gad kevin kline bill condon france magic castle fairy tale musical transformation cartoon remake curse creature 18th century beast live action and animation live action remake  en
284054,Black Panther,action adventure sci-fi chadwick boseman michael b. jordan lupita nyong'o danai gurira martin freeman ryan coogler africa superhero based on comic aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu)  en
